2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=24, page number=3] with future log sequence number 305265
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=24, page number=2] with future log sequence number 305265
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=11] with future log sequence number 306580
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=308] with future log sequence number 305483
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=307] with future log sequence number 305422
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=10] with future log sequence number 305503
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=9] with future log sequence number 304265
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=8] with future log sequence number 305442
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=331] with future log sequence number 305341
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=24, page number=1] with future log sequence number 304038
2022-11-04 23:28:08 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=7] with future log sequence number 304789
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=7] log sequence number 304789 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=11] log sequence number 306580 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=6] log sequence number 300630 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=301] log sequence number 300630 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=45] log sequence number 300669 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=306] log sequence number 300669 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=46] log sequence number 300708 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=309] log sequence number 300708 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=47] log sequence number 300786 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=311] log sequence number 300786 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Page [page id: space=0, page number=48] log sequence number 300864 is in the future! Current system log sequence number 300306.
2022-11-04 23:28:08 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
